date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2007-01-15,Rice - Retail,KG,cereals and tubers,5941.9752,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-02-15,Rice - Retail,KG,cereals and tubers,6445.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-03-15,Rice - Retail,KG,cereals and tubers,6414.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-04-15,Rice - Retail,KG,cereals and tubers,6083.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-05-15,Rice - Retail,KG,cereals and tubers,5955.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-06-15,Rice - Retail,KG,cereals and tubers,5949.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-07-15,Rice - Retail,KG,cereals and tubers,5944.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-08-15,Rice - Retail,KG,cereals and tubers,5965.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-09-15,Rice - Retail,KG,cereals and tubers,5977.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-10-15,Rice - Retail,KG,cereals and tubers,5981.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-11-15,Rice - Retail,KG,cereals and tubers,5985.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2007-12-15,Rice - Retail,KG,cereals and tubers,6147.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-01-15,Rice - Retail,KG,cereals and tubers,6405.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-02-15,Rice - Retail,KG,cereals and tubers,6375.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-03-15,Rice - Retail,KG,cereals and tubers,6221.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-04-15,Rice - Retail,KG,cereals and tubers,6132.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-05-15,Rice - Retail,KG,cereals and tubers,6253.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-06-15,Rice - Retail,KG,cereals and tubers,6406.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-07-15,Rice - Retail,KG,cereals and tubers,6405.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-08-15,Rice - Retail,KG,cereals and tubers,6404.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-09-15,Rice - Retail,KG,cereals and tubers,6436.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-10-15,Rice - Retail,KG,cereals and tubers,6440.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-11-15,Rice - Retail,KG,cereals and tubers,6441.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2008-12-15,Rice - Retail,KG,cereals and tubers,6504.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-01-15,Rice - Retail,KG,cereals and tubers,6591.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-02-15,Rice - Retail,KG,cereals and tubers,6725.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-03-15,Rice - Retail,KG,cereals and tubers,6706.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-04-15,Rice - Retail,KG,cereals and tubers,6643.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-05-15,Rice - Retail,KG,cereals and tubers,6641.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-06-15,Rice - Retail,KG,cereals and tubers,6640.0576,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-07-15,Rice - Retail,KG,cereals and tubers,6640.1843,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-08-15,Rice - Retail,KG,cereals and tubers,6658.7768,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-09-15,Rice - Retail,KG,cereals and tubers,6699.3953,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-10-15,Rice - Retail,KG,cereals and tubers,6705.4248,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-11-15,Rice - Retail,KG,cereals and tubers,6706.7659,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2009-12-15,Rice - Retail,KG,cereals and tubers,6938.1493,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-01-15,Rice - Retail,KG,cereals and tubers,7494.5889,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-02-15,Rice - Retail,KG,cereals and tubers,7720.9255,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-03-15,Rice - Retail,KG,cereals and tubers,7491.614,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-04-15,Rice - Retail,KG,cereals and tubers,7392.7247,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-05-15,Rice - Retail,KG,cereals and tubers,7403.0745,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-06-15,Rice - Retail,KG,cereals and tubers,7600.7366,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-07-15,Rice - Retail,KG,cereals and tubers,8037.0189,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-08-15,Rice - Retail,KG,cereals and tubers,8382.6107,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-09-15,Rice - Retail,KG,cereals and tubers,8430.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-10-15,Rice - Retail,KG,cereals and tubers,8493.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-11-15,Rice - Retail,KG,cereals and tubers,8668.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2010-12-15,Rice - Retail,KG,cereals and tubers,9082.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-01-15,Rice - Retail,KG,cereals and tubers,9244.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-02-15,Rice - Retail,KG,cereals and tubers,9118.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-03-15,Rice - Retail,KG,cereals and tubers,8795.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-04-15,Rice - Retail,KG,cereals and tubers,8711.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-05-15,Rice - Retail,KG,cereals and tubers,8741.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-06-15,Rice - Retail,KG,cereals and tubers,8870.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-07-15,Rice - Retail,KG,cereals and tubers,9297.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-08-15,Rice - Retail,KG,cereals and tubers,9504.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-09-15,Rice - Retail,KG,cereals and tubers,9644.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-10-15,Rice - Retail,KG,cereals and tubers,9768.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-11-15,Rice - Retail,KG,cereals and tubers,9781.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2011-12-15,Rice - Retail,KG,cereals and tubers,10100.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-01-15,Rice - Retail,KG,cereals and tubers,10439.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-02-15,Rice - Retail,KG,cereals and tubers,10520.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-03-15,Rice - Retail,KG,cereals and tubers,10406.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-04-15,Rice - Retail,KG,cereals and tubers,10339.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-05-15,Rice - Retail,KG,cereals and tubers,10286.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-06-15,Rice - Retail,KG,cereals and tubers,10309.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-07-15,Rice - Retail,KG,cereals and tubers,10385.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-08-15,Rice - Retail,KG,cereals and tubers,10391.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-09-15,Rice - Retail,KG,cereals and tubers,10414.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-10-15,Rice - Retail,KG,cereals and tubers,10421.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-11-15,Rice - Retail,KG,cereals and tubers,10482.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2012-12-15,Rice - Retail,KG,cereals and tubers,10718.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-01-15,Rice - Retail,KG,cereals and tubers,10821.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-02-15,Rice - Retail,KG,cereals and tubers,10819.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-03-15,Rice - Retail,KG,cereals and tubers,10748.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-04-15,Rice - Retail,KG,cereals and tubers,10646.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-05-15,Rice - Retail,KG,cereals and tubers,10646.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-06-15,Rice - Retail,KG,cereals and tubers,10718.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-07-15,Rice - Retail,KG,cereals and tubers,10874.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-08-15,Rice - Retail,KG,cereals and tubers,10938.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-09-15,Rice - Retail,KG,cereals and tubers,10969.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-10-15,Rice - Retail,KG,cereals and tubers,10987.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-11-15,Rice - Retail,KG,cereals and tubers,11011.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2013-12-15,Rice - Retail,KG,cereals and tubers,11073.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-01-15,Rice - Retail,KG,cereals and tubers,11224.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
2014-02-15,Rice - Retail,KG,cereals and tubers,11389.0,IDR,Indonesia,,0,National Average,974,52,15,5,1,974_52_15_5,
